number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
5759,Glaucidium sjostedti,unknown,6.8723,0.0843
5760,Glaucidium tephronotum,unknown,7.1327,0.098
5761,Glaucis aeneus,unknown,6.5849,0.0756
5762,Glaucis dohrnii,unknown,6.6767,0.1055
5763,Glaucis hirsutus,unknown,7.0498,0.1108
5764,Gliciphila melanops,unknown,5.5173,0.0587
5765,Gliciphila notabilis,unknown,4.9431,0.0596
5766,Gliciphila undulata,unknown,5.0037,0.0554
5767,Glossopsitta concinna,unknown,6.9304,0.0865
5768,Glossopsitta porphyrocephala,unknown,6.3998,0.068
5769,Glossopsitta pusilla,male,6.7946,0.0548
5770,Glossopsitta pusilla,unknown,6.6964,0.0767
5771,Glycichaera fallax,unknown,5.3265,0.0539
5772,Glyphorynchus spirurus,unknown,5.5778,0.0667
5773,Gnorimopsar chopi,unknown,5.57,0.0564
5774,Goethalsia bella,female,7.1458,0.0615
5775,Goethalsia bella,male,6.7018,0.0433
5776,Goethalsia bella,unknown,7.5646,0.101
5777,Goldmania violiceps,female,6.7903,0.0851
5778,Goldmania violiceps,unknown,7.3439,0.1197
5779,Goodfellowia miranda,male,5.8619,0.0554
5780,Goodfellowia miranda,unknown,6.4087,0.0698
5781,Gorsachius goisagi,unknown,5.1294,0.0525
5782,Gorsachius leuconotus,unknown,5.2829,0.0616
5783,Gorsachius magnificus,male,5.4777,0.0331
5784,Gorsachius magnificus,unknown,4.8062,0.0574
5785,Gorsachius melanolophus,unknown,5.4654,0.0552
5786,Goura cristata,unknown,7.1858,0.1111
5787,Goura sclaterii,unknown,6.5374,0.068
5788,Goura victoria,unknown,6.5363,0.0581
5789,Gracula enganensis,unknown,5.555,0.0447
5790,Gracula indica,unknown,6.4465,0.0634
5791,Gracula ptilogenys,unknown,5.2241,0.0554
5792,Gracula religiosa,unknown,5.9996,0.0572
5793,Gracula robusta,unknown,5.8608,0.0648
5794,Gracupica contra,unknown,6.2688,0.0691
5795,Gracupica nigricollis,unknown,5.597,0.071
5796,Grafisia torquata,male,5.6683,0.0862
5797,Grafisia torquata,unknown,6.1736,0.0779
5798,Grallaria albigula,unknown,5.0573,0.0624
5799,Grallaria alleni,unknown,5.7545,0.0615
5800,Grallaria andicolus,unknown,5.7589,0.061
5801,Grallaria bangsi,unknown,5.3105,0.0595
5802,Grallaria blakei,unknown,6.2305,0.0668
5803,Grallaria capitalis,unknown,5.3331,0.0473
5804,Grallaria carrikeri,unknown,6.0998,0.0579
5805,Grallaria dignissima,unknown,4.5746,0.0567
5806,Grallaria erythroleuca,unknown,5.3251,0.0555
5807,Grallaria erythrotis,unknown,5.751,0.0513
5808,Grallaria excelsa,unknown,4.5152,0.089
5809,Grallaria flavotincta,unknown,5.9315,0.0556
5810,Grallaria gigantea,unknown,6.0977,0.0538
5811,Grallaria guatimalensis,unknown,5.874,0.0602
5812,Grallaria haplonota,male,6.2344,0.0423
5813,Grallaria haplonota,unknown,5.2518,0.0467
5814,Grallaria hypoleuca,unknown,6.1696,0.0691
5815,Grallaria kaestneri,unknown,5.1566,0.0455
5816,Grallaria milleri,unknown,5.6936,0.0621
5817,Grallaria nuchalis,unknown,6.81,0.0832
5818,Grallaria przewalskii,unknown,5.5267,0.0523
5819,Grallaria quitensis,unknown,5.3517,0.0569
5820,Grallaria ridgelyi,unknown,6.0493,0.0646
5821,Grallaria ruficapilla,unknown,6.2159,0.0532
5822,Grallaria rufocinerea,unknown,6.2877,0.0731
5823,Grallaria rufula,female,6.0056,0.04
5824,Grallaria rufula,unknown,6.3634,0.0803
5825,Grallaria squamigera,unknown,6.1878,0.0486
5826,Grallaria urraoensis,unknown,4.8484,0.0706
5827,Grallaria varia,unknown,5.6025,0.0639
5828,Grallaria watkinsi,unknown,5.2655,0.0409
5829,Grallaricula cucullata,unknown,5.9846,0.0628
5830,Grallaricula cumanensis,unknown,6.2183,0.0655
5831,Grallaricula ferrugineipectus,unknown,6.2218,0.0509
5832,Grallaricula flavirostris,unknown,6.0906,0.0784
5833,Grallaricula leymebambae,unknown,6.0282,0.0525
5834,Grallaricula lineifrons,unknown,6.7753,0.0724
5835,Grallaricula loricata,unknown,6.4596,0.0561
5836,Grallaricula nana,unknown,5.9436,0.0499
5837,Grallaricula ochraceifrons,unknown,5.9865,0.0584
5838,Grallaricula peruviana,unknown,6.575,0.0766
5839,Grallina bruijnii,unknown,5.5735,0.0563
5840,Grallina cyanoleuca,female,6.9516,0.0405
5841,Grallina cyanoleuca,male,6.4416,0.0736
5842,Grallina cyanoleuca,unknown,5.8682,0.0472
5843,Graminicola bengalensis,unknown,5.586,0.0544
5844,Graminicola striatus,unknown,5.617,0.058
5845,Grammatoptila striata,unknown,6.1457,0.0559
5846,Granatellus pelzelni,male,7.2108,0.0797
5847,Granatellus pelzelni,unknown,6.6451,0.0787
5848,Granatellus sallaei,male,7.0098,0.0475
5849,Granatellus sallaei,unknown,6.6811,0.0641
5850,Granatellus venustus,male,6.7895,0.1377
5851,Granatellus venustus,unknown,6.9409,0.0949
5852,Granatina granatina,female,6.6061,0.0641
5853,Granatina granatina,male,6.8401,0.0633
5854,Granatina granatina,unknown,6.8891,0.07
5855,Granatina ianthinogaster,female,7.289,0.1347
5856,Granatina ianthinogaster,male,6.6583,0.0764
5857,Granatina ianthinogaster,unknown,6.2636,0.0551
5858,Grandala coelicolor,male,6.5787,0.0445
5859,Grandala coelicolor,unknown,7.3506,0.1
5860,Grantiella picta,male,5.7703,0.0574
5861,Grantiella picta,unknown,5.7529,0.0474
5862,Graueria vittata,unknown,4.4544,0.073
5863,Graydidascalus brachyurus,unknown,6.2281,0.0519
5864,Grus americana,unknown,6.3894,0.0657
5865,Grus grus,unknown,6.2002,0.0536
5866,Grus japonensis,unknown,6.5593,0.0645
5867,Grus monacha,unknown,6.0606,0.072
5868,Grus nigricollis,unknown,6.6206,0.0759
5869,Guadalcanaria inexpectata,unknown,4.5425,0.0743
5870,Guaruba guarouba,unknown,6.8041,0.066
5871,Gubernatrix cristata,male,6.7628,0.0669
5872,Gubernatrix cristata,unknown,6.8938,0.0293
5873,Gubernetes yetapa,unknown,5.6573,0.0509
5874,Guira guira,unknown,6.0627,0.0643
5875,Guttera plumifera,unknown,5.1137,0.0436
5876,Guttera pucherani,unknown,6.1603,0.0537
5877,Gygis alba,unknown,7.4307,0.1128
5878,Gymnobucco bonapartei,unknown,5.5018,0.0525
5879,Gymnobucco calvus,unknown,5.1034,0.0595
5880,Gymnobucco peli,male,4.9153,0.044
5881,Gymnobucco peli,unknown,4.9518,0.0497
5882,Gymnobucco sladeni,unknown,4.5906,0.048
5883,Gymnocichla nudiceps,male,5.5735,0.0223
5884,Gymnocichla nudiceps,unknown,5.967,0.0582
5885,Gymnocrex plumbeiventris,unknown,4.2589,0.0666
5886,Gymnocrex rosenbergii,unknown,5.3772,0.0546
5887,Gymnocrex talaudensis,unknown,5.7407,0.0472
5888,Gymnoderus foetidus,unknown,5.2421,0.0566
5889,Gymnogyps californianus,unknown,4.1846,0.0658
5890,Gymnomystax mexicanus,unknown,6.5393,0.0704
5891,Gymnomyza aubryana,male,5.0883,0.025
5892,Gymnomyza aubryana,unknown,5.2216,0.0656
5893,Gymnomyza brunneirostris,unknown,5.045,0.0555
5894,Gymnomyza samoensis,unknown,5.3386,0.0421
5895,Gymnomyza viridis,unknown,5.29,0.0707
5896,Gymnophaps albertisii,unknown,5.6835,0.0525
5897,Gymnophaps mada,unknown,5.7306,0.051
5898,Gymnophaps solomonensis,unknown,5.2083,0.048
5899,Gymnophaps stalkeri,unknown,5.2221,0.0607
5900,Gymnopithys bicolor,unknown,6.2135,0.0663
5901,Gymnopithys leucaspis,unknown,6.0989,0.0708
5902,Gymnopithys rufigula,unknown,5.9593,0.0661
5903,Gymnorhina tibicen,female,6.0736,0.0269
5904,Gymnorhina tibicen,unknown,6.4976,0.0677
5905,Gymnorhinus cyanocephalus,unknown,6.0439,0.0625
5906,Gymnoris dentata,female,5.1664,0.0646
5907,Gymnoris dentata,unknown,5.5902,0.0442
