number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
1,Abeillia abeillei,male,6.6579,0.0628
2,Abeillia abeillei,unknown,6.9854,0.0874
3,Abroscopus albogularis,unknown,6.6335,0.0832
4,Abroscopus schisticeps,unknown,7.0201,0.0877
5,Abroscopus superciliaris,unknown,6.0374,0.0502
6,Aburria aburri,unknown,5.5705,0.0632
7,Acanthagenys rufogularis,unknown,5.334,0.0579
8,Acanthidops bairdi,female,5.4055,0.0011
9,Acanthidops bairdi,unknown,5.4024,0.0519
10,Acanthis cabaret,female,5.935,0.0633
11,Acanthis cabaret,male,6.0626,0.0669
12,Acanthis cabaret,unknown,6.6014,0.0814
13,Acanthis flammea,female,6.1863,0.099
14,Acanthis flammea,male,5.602,NA
15,Acanthis flammea,unknown,6.4597,0.0703
16,Acanthis hornemanni,female,6.858,NA
17,Acanthis hornemanni,male,6.1732,0.0796
18,Acanthis hornemanni,unknown,6.9447,0.0696
19,Acanthisitta chloris,unknown,6.9331,0.0929
20,Acanthiza apicalis,unknown,5.2592,0.0563
21,Acanthiza chrysorrhoa,unknown,5.3852,0.0568
22,Acanthiza cinerea,unknown,4.3673,0.0626
23,Acanthiza ewingii,unknown,5.6632,0.0599
24,Acanthiza inornata,unknown,5.4047,0.0567
25,Acanthiza iredalei,unknown,5.1384,0.0683
26,Acanthiza katherina,unknown,4.7683,0.0495
27,Acanthiza lineata,unknown,5.769,0.0557
28,Acanthiza murina,unknown,4.7966,0.0581
29,Acanthiza nana,unknown,6.098,0.0489
30,Acanthiza pusilla,unknown,5.7709,0.0609
31,Acanthiza reguloides,unknown,5.729,0.0665
32,Acanthiza robustirostris,unknown,5.9287,0.0597
33,Acanthiza uropygialis,unknown,5.237,0.055
34,Acanthorhynchus superciliosus,female,5.4198,0.0601
35,Acanthorhynchus superciliosus,unknown,5.6394,0.0512
36,Acanthorhynchus tenuirostris,male,6.3654,0.0576
37,Acanthorhynchus tenuirostris,unknown,6.2545,0.0484
38,Acanthornis magna,unknown,5.2658,0.0604
39,Accipiter albogularis,unknown,5.8906,0.0722
40,Accipiter badius,female,6.448,NA
41,Accipiter badius,unknown,5.5977,0.0526
42,Accipiter bicolor,male,6.0897,0.0408
43,Accipiter bicolor,unknown,6.9343,0.0921
44,Accipiter brevipes,unknown,6.365,0.0663
45,Accipiter butleri,unknown,5.9905,0.0595
46,Accipiter castanilius,male,6.6701,0.0689
47,Accipiter castanilius,unknown,6.4256,0.0632
48,Accipiter cirrocephalus,female,5.8718,0.0463
49,Accipiter cirrocephalus,male,6.1833,0.0416
50,Accipiter cirrocephalus,unknown,6.6895,0.0621
51,Accipiter collaris,male,6.512,0.1021
52,Accipiter collaris,unknown,6.0724,0.061
53,Accipiter cooperii,female,6.3893,0.0507
54,Accipiter cooperii,unknown,6.2671,0.0503
55,Accipiter erythrauchen,unknown,5.9076,0.0538
56,Accipiter erythropus,unknown,5.0801,0.061
57,Accipiter fasciatus,unknown,6.5181,0.0603
58,Accipiter francesiae,female,6.9295,0.0908
59,Accipiter francesiae,male,6.4445,0.0448
60,Accipiter francesiae,unknown,6.6575,0.0724
61,Accipiter gentilis,unknown,6.8421,0.0713
62,Accipiter griseiceps,unknown,6.3779,0.0753
63,Accipiter gularis,male,6.181,NA
64,Accipiter gularis,unknown,6.2407,0.0652
65,Accipiter gundlachi,male,5.6531,0.0498
66,Accipiter gundlachi,unknown,5.6936,0.0654
67,Accipiter haplochrous,unknown,6.7938,0.0804
68,Accipiter henicogrammus,unknown,5.987,0.0725
69,Accipiter henstii,unknown,5.9715,0.0509
70,Accipiter hiogaster,unknown,6.4247,0.063
71,Accipiter imitator,unknown,6.0464,0.0587
72,Accipiter madagascariensis,unknown,6.3089,0.0692
73,Accipiter melanochlamys,unknown,5.5549,0.0583
74,Accipiter melanoleucus,unknown,6.597,0.0704
75,Accipiter meyerianus,unknown,5.478,0.0528
76,Accipiter minullus,male,6.8779,0.0776
77,Accipiter minullus,unknown,6.6412,0.0968
78,Accipiter nanus,male,5.9807,0.0265
79,Accipiter nanus,unknown,5.5108,0.0634
80,Accipiter nisus,female,6.682,NA
81,Accipiter nisus,male,6.2755,0.0531
82,Accipiter nisus,unknown,6.9077,0.1156
83,Accipiter novaehollandiae,female,5.9071,0.081
84,Accipiter novaehollandiae,unknown,6.7657,0.089
85,Accipiter ovampensis,unknown,6.1312,0.0702
86,Accipiter poliocephalus,unknown,6.3388,0.0724
87,Accipiter poliogaster,female,5.9415,0.0523
88,Accipiter poliogaster,unknown,6.2578,0.0666
89,Accipiter rhodogaster,unknown,5.7937,0.0656
90,Accipiter rufitorques,unknown,6.89,0.0745
91,Accipiter rufiventris,unknown,6.0094,0.0634
92,Accipiter soloensis,female,6.84,NA
93,Accipiter soloensis,male,5.903,0.0639
94,Accipiter soloensis,unknown,6.5512,0.0638
95,Accipiter striatus,unknown,6.5904,0.0736
96,Accipiter superciliosus,unknown,6.6835,0.0882
97,Accipiter tachiro,unknown,6.0913,0.0699
98,Accipiter toussenelii,unknown,6.4448,0.0542
99,Accipiter trinotatus,unknown,6.7346,0.0555
100,Accipiter trivirgatus,unknown,6.1247,0.0504
101,Accipiter virgatus,female,6.9475,0.088
102,Accipiter virgatus,unknown,6.333,0.0638
103,Aceros nipalensis,female,5.9785,0.124
104,Aceros nipalensis,male,7.0519,0.0916
105,Aceros nipalensis,unknown,6.5823,0.0578
106,Achaetops pycnopygius,unknown,5.4618,0.0492
107,Acridotheres albocinctus,unknown,5.5608,0.0533
108,Acridotheres burmannicus,male,6.2941,0.0443
109,Acridotheres burmannicus,unknown,5.614,0.0557
110,Acridotheres cinereus,unknown,5.2616,0.0599
111,Acridotheres cristatellus,unknown,5.8264,0.0607
112,Acridotheres fuscus,unknown,5.1548,0.0535
113,Acridotheres ginginianus,unknown,6.0886,0.0588
114,Acridotheres grandis,unknown,5.8911,0.0602
115,Acridotheres javanicus,unknown,6.0293,0.0652
116,Acridotheres melanopterus,unknown,5.5925,0.0503
117,Acridotheres tristis,unknown,5.9384,0.0486
118,Acrobatornis fonsecai,unknown,4.9775,0.0678
119,Acrocephalus aequinoctialis,male,5.2714,0.0449
120,Acrocephalus aequinoctialis,unknown,4.7143,0.0629
121,Acrocephalus agricola,unknown,5.2607,0.0534
122,Acrocephalus arundinaceus,male,4.6271,0.0511
123,Acrocephalus arundinaceus,unknown,4.9529,0.068
124,Acrocephalus atyphus,unknown,4.4973,0.0734
125,Acrocephalus australis,unknown,5.0254,0.0454
126,Acrocephalus baeticatus,male,5.1818,0.0233
127,Acrocephalus baeticatus,unknown,4.6527,0.0684
128,Acrocephalus bistrigiceps,unknown,5.3671,0.049
129,Acrocephalus brevipennis,unknown,5.3278,0.0609
130,Acrocephalus caffer,unknown,4.8487,0.0612
131,Acrocephalus concinens,male,4.7847,0.0539
132,Acrocephalus concinens,unknown,5.0767,0.058
133,Acrocephalus dumetorum,unknown,5.6367,0.0595
134,Acrocephalus familiaris,unknown,4.8649,0.0605
135,Acrocephalus gracilirostris,unknown,5.1025,0.0489
136,Acrocephalus griseldis,male,5.1287,0.0533
137,Acrocephalus griseldis,unknown,4.9142,0.054
138,Acrocephalus hiwae,unknown,4.3363,0.0616
139,Acrocephalus melanopogon,unknown,6.0251,0.0662
140,Acrocephalus mendanae,unknown,4.9209,0.0621
141,Acrocephalus newtoni,unknown,4.8536,0.0571
142,Acrocephalus orientalis,unknown,4.8364,0.0757
143,Acrocephalus orinus,male,4.3413,0.0911
144,Acrocephalus orinus,unknown,4.9637,0.0552
145,Acrocephalus paludicola,male,5.143,NA
146,Acrocephalus paludicola,unknown,5.6098,0.0563
147,Acrocephalus palustris,male,4.8942,0.0728
148,Acrocephalus palustris,unknown,5.2229,0.0583
149,Acrocephalus percernis,unknown,5.0274,0.0504
150,Acrocephalus rimitarae,unknown,4.9199,0.0566
151,Acrocephalus rodericanus,unknown,5.2445,0.0672
152,Acrocephalus rufescens,male,4.9504,0.0557
153,Acrocephalus rufescens,unknown,4.5461,0.0714
154,Acrocephalus schoenobaenus,unknown,5.1266,0.0467
155,Acrocephalus scirpaceus,unknown,5.5761,0.0598
156,Acrocephalus sechellensis,unknown,5.4191,0.0569
157,Acrocephalus sorghophilus,unknown,4.8368,0.0658
158,Acrocephalus stentoreus,male,4.6553,0.0325
159,Acrocephalus stentoreus,unknown,4.7928,0.0552
160,Acrocephalus syrinx,unknown,4.6965,0.0843
161,Acrocephalus taiti,unknown,5.0742,0.0481
162,Acrocephalus tangorum,unknown,5.2169,0.0529
163,Acrocephalus vaughani,unknown,4.9286,0.0524
164,Acropternis orthonyx,unknown,6.12,0.0636
165,Acryllium vulturinum,unknown,6.6958,0.0715
166,Actenoides concretus,male,7.3666,0.0889
167,Actenoides concretus,unknown,7.8124,0.1212
168,Actenoides hombroni,unknown,6.842,0.0811
169,Actenoides lindsayi,unknown,7.2308,0.0895
170,Actenoides monachus,female,7.343,0.0851
171,Actenoides monachus,male,7.2838,0.0728
172,Actenoides monachus,unknown,7.7575,0.1105
173,Actenoides princeps,male,6.9474,0.1517
174,Actenoides princeps,unknown,7.4236,0.094
175,Actinodura cyanouroptera,unknown,6.1695,0.0722
176,Actinodura egertoni,male,6.0896,0.0332
177,Actinodura egertoni,unknown,6.8253,0.0824
178,Actinodura morrisoniana,unknown,6.2337,0.063
179,Actinodura nipalensis,unknown,6.4682,0.0693
180,Actinodura ramsayi,unknown,6.6477,0.0582
181,Actinodura sodangorum,unknown,5.6636,0.0587
182,Actinodura souliei,unknown,5.3633,0.0476
183,Actinodura strigula,unknown,6.6416,0.0754
184,Actinodura waldeni,unknown,6.6829,0.0736
185,Actitis hypoleucos,unknown,6.029,0.0603
186,Actitis macularius,unknown,5.6705,0.0642
187,Actophilornis africanus,female,5.9193,0.0589
188,Actophilornis africanus,unknown,6.1369,0.0562
189,Actophilornis albinucha,unknown,6.0438,0.0562
190,Adelomyia melanogenys,unknown,7.1152,0.0915
191,Aechmophorus clarkii,unknown,5.4629,0.0497
192,Aechmophorus occidentalis,unknown,6.183,0.0626
193,Aegithalos caudatus,unknown,7.3038,0.0649
194,Aegithalos concinnus,unknown,7.2185,0.0858
195,Aegithalos fuliginosus,unknown,6.7914,0.0984
196,Aegithalos glaucogularis,unknown,7.0922,0.0816
197,Aegithalos iouschistos,unknown,6.7536,0.0693
198,Aegithalos leucogenys,unknown,6.2935,0.0619
199,Aegithalos niveogularis,unknown,6.1885,0.0636
200,Aegithina lafresnayei,unknown,6.2744,0.0674
201,Aegithina nigrolutea,female,5.8736,0.0588
202,Aegithina nigrolutea,unknown,6.7988,0.0955
203,Aegithina tiphia,female,6.4527,0.0708
204,Aegithina tiphia,male,6.3038,0.0232
205,Aegithina tiphia,unknown,5.8767,0.0462
206,Aegithina viridissima,male,6.0161,0.0717
207,Aegithina viridissima,unknown,5.9821,0.0627
208,Aegolius acadicus,unknown,7.8192,0.1131
209,Aegolius funereus,male,7.0469,0.0705
210,Aegolius funereus,unknown,7.129,0.0892
211,Aegolius harrisii,unknown,7.3259,0.1016
212,Aegolius ridgwayi,unknown,7.1265,0.1232
213,Aegotheles affinis,unknown,5.9983,0.0643
214,Aegotheles albertisi,unknown,6.1622,0.0682
215,Aegotheles bennettii,unknown,6.12,0.0619
216,Aegotheles crinifrons,unknown,5.7452,0.061
217,Aegotheles cristatus,unknown,5.8403,0.0459
218,Aegotheles insignis,male,5.9928,0.0623
219,Aegotheles insignis,unknown,6.7198,0.0612
220,Aegotheles tatei,unknown,5.9353,0.057
221,Aegotheles wallacii,unknown,5.4547,0.0483
222,Aegypius monachus,unknown,6.2966,0.0563
223,Aepypodius arfakianus,unknown,4.9266,0.055
224,Aepypodius bruijnii,unknown,4.1902,0.0656
225,Aerodramus amelis,unknown,5.238,0.0688
226,Aerodramus bartschi,unknown,4.7727,0.0526
227,Aerodramus brevirostris,unknown,5.0503,0.0537
228,Aerodramus ceramensis,unknown,4.4567,0.0734
229,Aerodramus elaphrus,unknown,4.5814,0.0475
230,Aerodramus francicus,unknown,4.8236,0.0621
231,Aerodramus fuciphagus,unknown,5.1925,0.0656
232,Aerodramus germani,unknown,5.4782,0.0541
233,Aerodramus hirundinaceus,unknown,5.7588,0.0474
234,Aerodramus infuscatus,unknown,4.5171,0.0601
235,Aerodramus inquietus,unknown,4.7728,0.0667
236,Aerodramus leucophaeus,unknown,4.6141,0.0605
237,Aerodramus maximus,unknown,5.0711,0.0557
238,Aerodramus mearnsi,unknown,5.1054,0.0571
239,Aerodramus ocistus,unknown,5.1077,0.0463
240,Aerodramus pelewensis,unknown,4.3583,0.0706
241,Aerodramus salangana,unknown,4.7782,0.0541
242,Aerodramus sawtelli,unknown,4.5474,0.0693
243,Aerodramus sororum,unknown,5.1784,0.0651
244,Aerodramus spodiopygius,unknown,5.5341,0.0606
245,Aerodramus terraereginae,unknown,5.4019,0.0567
246,Aerodramus unicolor,unknown,5.2841,0.0499
247,Aerodramus vanikorensis,unknown,5.2105,0.0479
248,Aerodramus vulcanorum,unknown,4.2657,0.0685
249,Aeronautes andecolus,unknown,6.1639,0.0632
250,Aeronautes montivagus,unknown,5.5117,0.0549
251,Aeronautes saxatalis,unknown,5.5512,0.0645
252,Aethia cristatella,unknown,5.785,0.0506
253,Aethia psittacula,unknown,5.4758,0.06
254,Aethia pusilla,unknown,5.401,0.0661
255,Aethia pygmaea,unknown,6.1309,0.0642
256,Aethopyga bella,male,6.3965,0.0693
257,Aethopyga bella,unknown,6.3715,0.0707
258,Aethopyga boltoni,female,6.4506,0.0601
259,Aethopyga boltoni,male,6.1034,0.0566
260,Aethopyga boltoni,unknown,6.1607,0.0758
261,Aethopyga christinae,male,6.8703,0.1204
262,Aethopyga christinae,unknown,7.0147,0.0822
263,Aethopyga decorosa,unknown,6.1593,0.0623
264,Aethopyga duyvenbodei,female,6.0613,0.0759
265,Aethopyga duyvenbodei,male,6.4141,0.0489
266,Aethopyga duyvenbodei,unknown,7.1629,0.1031
267,Aethopyga eximia,male,6.2726,0.0719
268,Aethopyga eximia,unknown,6.1795,0.0923
269,Aethopyga flagrans,unknown,6.4784,0.0736
270,Aethopyga gouldiae,female,6.5486,0.0394
271,Aethopyga gouldiae,male,7.3021,0.0676
272,Aethopyga gouldiae,unknown,7.1559,0.1314
273,Aethopyga guimarasensis,female,6.3059,0.0718
274,Aethopyga guimarasensis,unknown,6.5601,0.0632
275,Aethopyga ignicauda,male,7.2016,0.0765
276,Aethopyga ignicauda,unknown,7.1943,0.0847
277,Aethopyga jefferyi,male,6.4932,0.0466
278,Aethopyga jefferyi,unknown,6.2825,0.0645
279,Aethopyga linaraborae,male,6.7696,0.0673
280,Aethopyga linaraborae,unknown,6.5085,0.0647
281,Aethopyga magnifica,unknown,5.9177,0.0567
282,Aethopyga mystacalis,male,6.2879,0.0696
283,Aethopyga mystacalis,unknown,6.2606,0.0638
284,Aethopyga nipalensis,male,6.6115,0.0601
285,Aethopyga nipalensis,unknown,7.4114,0.1166
286,Aethopyga primigenia,unknown,5.6537,0.0563
287,Aethopyga pulcherrima,female,5.1003,0.0464
288,Aethopyga pulcherrima,unknown,6.7303,0.0941
289,Aethopyga saturata,female,6.527,NA
290,Aethopyga saturata,male,6.5799,0.0575
291,Aethopyga saturata,unknown,6.8865,0.0844
292,Aethopyga shelleyi,male,6.6419,0.0527
293,Aethopyga shelleyi,unknown,7.0167,0.101
294,Aethopyga siparaja,female,5.7266,0.0852
295,Aethopyga siparaja,male,6.5727,0.0616
296,Aethopyga siparaja,unknown,6.6251,0.0958
297,Aethopyga temminckii,unknown,7.3925,0.1093
298,Aethopyga tibolii,male,4.4187,0.0711
299,Aethopyga tibolii,unknown,5.6668,0.0551
300,Aethopyga vigorsii,male,6.1316,0.0488
301,Aethopyga vigorsii,unknown,5.9979,0.0721
302,Afropavo congensis,unknown,6.5637,0.0773
303,Agamia agami,unknown,6.6795,0.0843
304,Agapornis canus,male,6.5047,0.0571
305,Agapornis canus,unknown,7.1012,0.0972
306,Agapornis fischeri,unknown,7.2844,0.0985
307,Agapornis lilianae,unknown,7.6717,0.1059
308,Agapornis nigrigenis,unknown,7.0441,0.1159
309,Agapornis personatus,unknown,7.6105,0.124
310,Agapornis pullarius,male,7.6092,0.0867
311,Agapornis pullarius,unknown,6.8289,0.0669
312,Agapornis roseicollis,unknown,7.0079,0.0988
313,Agapornis swindernianus,unknown,6.2237,0.0628
314,Agapornis taranta,female,6.3645,0.059
315,Agapornis taranta,unknown,7.1098,0.0874
316,Agelaioides badius,unknown,5.5831,0.062
317,Agelaioides fringillarius,unknown,4.7448,0.0573
318,Agelaius assimilis,male,6.33,0.0496
319,Agelaius assimilis,unknown,6.6023,0.0589
320,Agelaius humeralis,unknown,5.623,0.0564
321,Agelaius phoeniceus,female,5.6293,0.0522
322,Agelaius phoeniceus,male,6.4978,0.0227
323,Agelaius phoeniceus,unknown,6.3665,0.0625
324,Agelaius tricolor,female,4.824,0.0327
325,Agelaius tricolor,male,5.6644,0.0584
326,Agelaius tricolor,unknown,5.8422,0.0571
327,Agelaius xanthomus,unknown,6.5246,0.0696
328,Agelastes niger,unknown,4.5242,0.0703
329,Agelasticus cyanopus,female,5.6966,0.0559
330,Agelasticus cyanopus,male,5.327,0.0596
331,Agelasticus cyanopus,unknown,5.123,0.0437
332,Agelasticus thilius,female,6.056,0.0503
333,Agelasticus thilius,male,6.1915,0.061
334,Agelasticus thilius,unknown,6.4089,0.0678
335,Agelasticus xanthophthalmus,unknown,5.5619,0.0557
336,Aglaeactis aliciae,unknown,5.3208,0.0539
337,Aglaeactis castelnaudii,unknown,6.764,0.082
338,Aglaeactis cupripennis,male,7.1072,0.0737
339,Aglaeactis cupripennis,unknown,6.9336,0.0933
340,Aglaeactis pamela,male,6.8986,0.0793
341,Aglaeactis pamela,unknown,6.6395,0.0832
342,Aglaiocercus berlepschi,female,6.9263,0.0782
343,Aglaiocercus berlepschi,unknown,6.3069,0.0597
344,Aglaiocercus coelestis,male,6.9761,0.0528
345,Aglaiocercus coelestis,unknown,7.3666,0.1015
346,Aglaiocercus kingii,male,7.4466,0.0698
347,Aglaiocercus kingii,unknown,7.5025,0.1027
348,Agraphospiza rubescens,male,5.2632,0.0578
349,Agraphospiza rubescens,unknown,5.7996,0.0628
350,Agricola infuscatus,unknown,5.3338,0.0592
351,Agricola pallidus,unknown,5.1712,0.0544
352,Agriornis albicauda,unknown,4.9177,0.0484
353,Agriornis lividus,unknown,5.5232,0.0729
354,Agriornis micropterus,unknown,5.0199,0.0665
355,Agriornis montanus,unknown,4.6684,0.0618
356,Agriornis murinus,unknown,4.9695,0.0714
357,Agropsar philippensis,female,6.1794,0.0429
358,Agropsar philippensis,male,5.9395,0.0427
359,Agropsar philippensis,unknown,5.9905,0.0536
360,Agropsar sturninus,male,5.9105,0.0366
361,Agropsar sturninus,unknown,6.1427,0.0557
362,Ailuroedus arfakianus,unknown,6.1449,0.0621
363,Ailuroedus buccoides,unknown,4.9147,0.0623
364,Ailuroedus crassirostris,unknown,6.1974,0.0555
365,Ailuroedus geislerorum,unknown,5.7075,0.0609
366,Ailuroedus maculosus,unknown,6.0058,0.0612
367,Ailuroedus melanotis,unknown,4.8899,0.0626
368,Ailuroedus stonii,unknown,5.0918,0.0653
369,Aimophila notosticta,unknown,5.2135,0.0662
370,Aimophila rufescens,unknown,5.8385,0.0565
371,Aimophila ruficeps,unknown,5.836,0.0545
372,Aix galericulata,male,6.5613,0.0701
373,Aix galericulata,unknown,7.6029,0.1269
374,Aix sponsa,male,6.7736,0.0484
375,Aix sponsa,unknown,6.7321,0.075
376,Akletos goeldii,male,5.4582,0.0537
377,Akletos goeldii,unknown,5.2799,0.0481
378,Akletos melanoceps,female,6.3121,0.0689
379,Akletos melanoceps,unknown,5.9082,0.0693
380,Alaemon alaudipes,unknown,4.5785,0.0562
381,Alaemon hamertoni,unknown,4.6403,0.0564
382,Alauda arvensis,male,5.1405,0.0539
383,Alauda arvensis,unknown,4.5049,0.0617
384,Alauda gulgula,unknown,5.1024,0.0543
385,Alauda leucoptera,male,4.7483,0.0646
386,Alauda leucoptera,unknown,5.2099,0.0483
387,Alauda razae,unknown,4.1981,0.0756
388,Alaudala cheleensis,unknown,5.2024,0.0444
389,Alaudala raytal,unknown,5.3491,0.0526
390,Alaudala rufescens,unknown,4.8185,0.0645
391,Alaudala somalica,unknown,4.6981,0.0601
392,Alca torda,unknown,6.5791,0.0764
393,Alcedo atthis,male,7.315,0.0113
394,Alcedo atthis,unknown,7.6532,0.0919
395,Alcedo coerulescens,unknown,7.783,0.1158
396,Alcedo euryzona,female,7.0215,0.0322
397,Alcedo euryzona,male,7.4244,0.0799
398,Alcedo euryzona,unknown,7.3083,0.1199
399,Alcedo hercules,male,7.6465,0.1429
400,Alcedo hercules,unknown,7.5239,0.1184
401,Alcedo meninting,male,7.3936,0.0813
402,Alcedo meninting,unknown,6.8273,0.0733
403,Alcedo quadribrachys,male,7.6369,0.0948
404,Alcedo quadribrachys,unknown,7.3612,0.0919
405,Alcedo semitorquata,unknown,7.7034,0.0949
406,Alcippe brunneicauda,unknown,4.774,0.0621
407,Alcippe davidi,unknown,5.7445,0.0447
408,Alcippe fratercula,unknown,6.2938,0.0709
409,Alcippe grotei,unknown,5.1072,0.0485
410,Alcippe hueti,unknown,5.9951,0.0694
411,Alcippe morrisonia,unknown,5.7619,0.0627
412,Alcippe nipalensis,unknown,5.8879,0.0636
413,Alcippe peracensis,unknown,6.1226,0.0627
414,Alcippe poioicephala,unknown,4.8067,0.0548
415,Alcippe pyrrhoptera,unknown,5.0398,0.0541
416,Alcippe variegaticeps,unknown,6.2486,0.0624
417,Aleadryas rufinucha,unknown,5.4735,0.0567
418,Alectoris barbara,unknown,5.5927,0.0472
419,Alectoris chukar,unknown,5.8038,0.0605
420,Alectoris graeca,unknown,5.8173,0.0647
421,Alectoris magna,unknown,6.0044,0.0591
422,Alectoris melanocephala,unknown,5.3642,0.0479
423,Alectoris philbyi,unknown,5.266,0.0534
424,Alectoris rufa,male,5.5444,0.0334
425,Alectoris rufa,unknown,6.3171,0.0653
426,Alectroenas madagascariensis,unknown,5.8566,0.0785
427,Alectroenas pulcherrimus,unknown,5.3833,0.0493
428,Alectroenas sganzini,unknown,5.6321,0.0451
429,Alectrurus risora,female,5.3132,0.0713
430,Alectrurus risora,male,6.042,NA
431,Alectrurus risora,unknown,6.1448,0.0562
432,Alectrurus tricolor,male,6.5432,0.0444
433,Alectrurus tricolor,unknown,4.8841,0.0442
434,Alectura lathami,unknown,4.9873,0.0599
435,Alethe castanea,unknown,4.911,0.0598
436,Alethe diademata,male,5.8632,0.0507
437,Alethe diademata,unknown,5.2595,0.0582
438,Alipiopsitta xanthops,unknown,6.041,0.0565
439,Alisterus amboinensis,unknown,6.7587,0.0744
440,Alisterus chloropterus,unknown,6.6946,0.0634
441,Alisterus scapularis,female,6.8746,0.0682
442,Alisterus scapularis,male,6.7635,0.0687
443,Alisterus scapularis,unknown,7.3471,0.0924
444,Alle alle,unknown,6.1939,0.0518
445,Allenia fusca,unknown,4.7603,0.0654
446,Alopecoenas beccarii,unknown,5.8054,0.0602
447,Alopecoenas canifrons,unknown,5.197,0.0636
448,Alopecoenas erythropterus,female,5.717,0.0321
449,Alopecoenas erythropterus,male,5.8486,0.0435
450,Alopecoenas erythropterus,unknown,5.774,0.0736
451,Alopecoenas hoedtii,female,5.7233,0.0251
452,Alopecoenas hoedtii,male,5.1096,0.0526
453,Alopecoenas hoedtii,unknown,6.2943,0.0637
454,Alopecoenas kubaryi,unknown,5.4392,0.0506
455,Alopecoenas rubescens,unknown,5.3019,0.0565
456,Alopecoenas stairi,unknown,5.1561,0.061
457,Alopecoenas xanthonurus,unknown,5.0236,0.054
458,Alophoixus affinis,unknown,5.2653,0.0539
459,Alophoixus aureus,unknown,5.5411,0.0497
460,Alophoixus bres,unknown,5.2736,0.0622
461,Alophoixus chloris,unknown,5.8518,0.0577
462,Alophoixus finschii,unknown,4.777,0.0726
463,Alophoixus flaveolus,unknown,5.5748,0.0492
464,Alophoixus frater,unknown,5.1075,0.0412
465,Alophoixus longirostris,unknown,5.4722,0.0572
466,Alophoixus lucasi,unknown,5.4479,0.0581
467,Alophoixus mystacalis,unknown,5.3455,0.0523
468,Alophoixus ochraceus,unknown,5.7105,0.0554
469,Alophoixus pallidus,unknown,5.8501,0.0591
470,Alophoixus phaeocephalus,unknown,5.9367,0.086
471,Alophoixus platenae,unknown,4.51,0.0703
472,Alopochelidon fucata,unknown,6.201,0.0583
473,Alopochen aegyptiaca,unknown,6.3231,0.0822
474,Amadina erythrocephala,female,5.8083,0.0292
475,Amadina erythrocephala,male,5.9383,0.0546
476,Amadina erythrocephala,unknown,5.9252,0.0508
477,Amadina fasciata,unknown,5.7257,0.0534
478,Amalocichla incerta,male,5.1475,0.0499
479,Amalocichla incerta,unknown,6.0178,0.0579
480,Amalocichla sclateriana,unknown,4.8565,0.0551
481,Amandava amandava,male,7.2448,0.0904
482,Amandava amandava,unknown,7.337,0.0912
483,Amaurolimnas concolor,unknown,4.7951,0.0521
484,Amaurornis cinerea,unknown,4.8114,0.0466
485,Amaurornis isabellina,unknown,5.2369,0.0527
486,Amaurornis marginalis,female,4.392,0.0067
487,Amaurornis marginalis,unknown,5.1057,0.0565
488,Amaurornis moluccana,unknown,5.3352,0.0661
489,Amaurornis olivacea,unknown,5.1627,0.0629
490,Amaurornis phoenicurus,unknown,6.0165,0.0727
491,Amaurospiza concolor,male,6.0856,0.0337
492,Amaurospiza concolor,unknown,5.3102,0.059
493,Amaurospiza moesta,male,5.8844,0.0649
494,Amaurospiza moesta,unknown,6.3341,0.0655
495,Amazilia amabilis,unknown,7.2149,0.1077
496,Amazilia amazilia,unknown,6.5332,0.0736
497,Amazilia beryllina,unknown,7.68,0.125
498,Amazilia boucardi,female,7.3242,0.0802
499,Amazilia boucardi,unknown,7.1535,0.1027
500,Amazilia brevirostris,unknown,7.193,0.0854
501,Amazilia candida,unknown,6.4972,0.0776
502,Amazilia castaneiventris,female,6.9454,0.0352
503,Amazilia castaneiventris,unknown,6.9849,0.0715
504,Amazilia chionogaster,unknown,6.6356,0.0603
505,Amazilia cyanifrons,unknown,7.4839,0.094
506,Amazilia cyanocephala,unknown,7.1745,0.1362
507,Amazilia cyanura,unknown,6.6563,0.0709
508,Amazilia decora,male,7.3953,0.0918
509,Amazilia decora,unknown,7.3512,0.1127
510,Amazilia edward,unknown,7.3642,0.0987
511,Amazilia fimbriata,male,7.4975,0.1006
512,Amazilia fimbriata,unknown,7.7911,0.1535
513,Amazilia franciae,unknown,7.4505,0.1176
514,Amazilia hoffmanni,unknown,6.999,0.0769
515,Amazilia lactea,unknown,7.1907,0.1028
516,Amazilia leucogaster,unknown,7.3227,0.0919
517,Amazilia luciae,male,6.2456,0.0352
518,Amazilia luciae,unknown,6.9024,0.0736
519,Amazilia rosenbergi,female,7.1181,0.0532
520,Amazilia rosenbergi,male,7.2783,0.0842
521,Amazilia rosenbergi,unknown,6.4597,0.0637
522,Amazilia rutila,unknown,6.3958,0.0738
523,Amazilia saucerottei,unknown,7.7177,0.0863
524,Amazilia tobaci,unknown,7.3459,0.0897
525,Amazilia tzacatl,unknown,7.1295,0.0933
526,Amazilia versicolor,unknown,6.7579,0.0836
527,Amazilia violiceps,unknown,6.8368,0.0675
528,Amazilia viridicauda,unknown,7.2501,0.0981
529,Amazilia viridifrons,unknown,6.4746,0.0631
530,Amazilia viridigaster,female,7.1055,0.0689
531,Amazilia viridigaster,male,7.405,NA
532,Amazilia viridigaster,unknown,7.3616,0.0999
533,Amazilia yucatanensis,unknown,7.2208,0.1098
534,Amazona aestiva,unknown,6.9988,0.0962
